AREA,MAJORAXIS,MINORAXIS,ECCENTRICITY,EQDIASQ,PERIMETER,SOLIDITY,ROUNDNESS,SHAPEFACTOR,COMPACTNESS,EXTENT
168,109.57615661621094,39.39672088623047,0.9730601906776428,213.90423583984375,202.79405212402344,0.08745445311069489,0.017815059050917625,0.05133442580699921,0.13347306847572327,0.042042043060064316
162,105.58445739746094,43.36689376831055,0.9641727805137634,206.26480102539062,194.79405212402344,0.08190090954303741,0.01850227639079094,0.05365046486258507,0.13602307438850403,0.04305075854063034
145,97.3602066040039,35.53202819824219,0.9030716419219971,184.61972045898438,177.72296142578125,0.09602648764848709,0.019476689398288727,0.05768870562314987,0.13955891132354736,0.04497518762946129
178,104.08058166503906,49.040061950683594,1.2726572751998901,226.63662719726562,202.50975036621094,0.08050655573606491,0.02092139609158039,0.054542869329452515,0.14464230835437775,0.0535983145236969
187,103.71666717529297,40.8858757019043,-1.4691392183303833,238.0957794189453,198.8112335205078,0.09765013307332993,0.022133730351924896,0.05945243686437607,0.14877408742904663,0.07420635223388672
174,102.02272033691406,41.85966873168945,1.318893313407898,221.54367065429688,194.1249542236328,0.09275053441524506,0.02128460258245468,0.058022499084472656,0.1458924412727356,0.06509539484977722
181,102.59201049804688,48.16352844238281,-0.1932113766670227,230.4563446044922,195.29653930664062,0.08590412884950638,0.021895838901400566,0.0596347451210022,0.14797243475914001,0.06654411554336548
182,109.2677993774414,50.41226577758789,0.41301217675209045,231.72958374023438,206.99502563476562,0.0771186426281929,0.019408728927373886,0.05337788909673691,0.13931521773338318,0.04993141442537308
189,112.18026733398438,43.99041748046875,0.31082621216773987,240.6422576904297,212.85287475585938,0.08778448402881622,0.019122250378131866,0.05242187902331352,0.13828322291374207,0.05570291727781296
189,107.65071105957031,45.97407531738281,0.06035561114549637,240.6422576904297,205.63966369628906,0.08766233921051025,0.02076529525220394,0.056163981556892395,0.14410167932510376,0.07007786631584167
192,109.97551727294922,43.64762496948242,-1.4564746618270874,244.46197509765625,208.22544860839844,0.09182209521532059,0.02021246775984764,0.05564722418785095,0.14217056334018707,0.07191011309623718
169,97.40216064453125,43.59585952758789,1.403104305267334,215.17747497558594,187.05386352539062,0.09234973043203354,0.022680867463350296,0.06069643422961235,0.15060168504714966,0.06989247351884842
173,115.61543273925781,43.32075119018555,0.8424264192581177,220.2704315185547,211.76461791992188,0.07983387261629105,0.0164787620306015,0.04847849905490875,0.12836962938308716,0.03748645633459091
167,94.10693359375,40.05072021484375,-1.104064702987671,212.63099670410156,178.16659545898438,0.10176721215248108,0.02400951273739338,0.0661110058426857,0.15495002269744873,0.05711354315280914
166,106.18276977539062,44.070228576660156,0.5823484659194946,211.35775756835938,198.30874633789062,0.08238213509321213,0.018746064975857735,0.05304374918341637,0.13691626489162445,0.04433760792016983
185,101.81472778320312,43.761749267578125,-0.4622235596179962,235.54930114746094,193.23768615722656,0.09600415080785751,0.02272273600101471,0.06225839629769325,0.1507406234741211,0.054347824305295944
35,16.6978759765625,16.15641212463379,0.7854032516479492,44.56338119506836,38.72792053222656,0.27559053897857666,0.1598290503025055,0.29324427247047424,0.3997862637042999,0.2430555522441864
186,100.07652282714844,37.41299819946289,-0.6288924217224121,236.82254028320312,190.45089721679688,0.11091234534978867,0.023646052926778793,0.06444018334150314,0.1537727266550064,0.04957355931401253
172,98.87591552734375,38.356876373291016,-1.4053348302841187,218.9971923828125,185.98280334472656,0.10324129462242126,0.022400490939617157,0.062487442046403885,0.14966793358325958,0.07775768637657166
165,99.43781280517578,44.04334259033203,1.1661338806152344,210.0845184326172,188.0244598388672,0.08776595443487167,0.02124667353928089,0.05864960327744484,0.1457623839378357,0.05717255547642708
177,104.10431671142578,41.01365661621094,-0.31538519263267517,225.36338806152344,196.61024475097656,0.0940488874912262,0.020794374868273735,0.05754012614488602,0.1442025601863861,0.05979729816317558
159,103.95849609375,35.8293342590332,0.6328529715538025,202.44508361816406,191.96559143066406,0.09492537379264832,0.018732134252786636,0.054220087826251984,0.13686539232730865,0.043300654739141464
182,107.10502624511719,46.89936828613281,1.288895845413208,231.72958374023438,206.85289001464844,0.08205590397119522,0.020200485363602638,0.05345127359032631,0.14212842285633087,0.0555555559694767
199,109.98472595214844,44.577701568603516,-0.4502684772014618,253.37466430664062,209.7229766845703,0.09187442064285278,0.020945871248841286,0.05685529485344887,0.14472688734531403,0.050138574093580246
162,103.51338958740234,46.87026596069336,1.0032765865325928,206.26480102539062,192.30874633789062,0.07902438938617706,0.019250059500336647,0.05504613369703293,0.13874457776546478,0.04591836780309677
185,105.47413635253906,46.72797775268555,1.4391067028045654,235.54930114746094,201.29652404785156,0.08701787143945694,0.021173367276787758,0.05737319961190224,0.1455107033252716,0.06673881411552429
155,93.93659210205078,39.255592346191406,1.1809762716293335,197.3521270751953,177.7818145751953,0.09651307761669159,0.02236517146229744,0.06162641569972038,0.14954988658428192,0.06064162775874138
160,103.61107635498047,45.442012786865234,0.8394970893859863,203.71832275390625,192.30874633789062,0.0803212821483612,0.018976571038365364,0.05436655133962631,0.13775546848773956,0.04385964944958687
